CO_IES;NO_CINE_ROTULO;QT_ING;QT_ING_FEM;QT_ING_MASC;QT_ING_0_17;QT_ING_18_24;QT_ING_25_29;QT_ING_35_39;QT_ING_40_49;QT_ING_50_59;QT_ING_60_MAIS;QT_ING_BRANCA;QT_ING_PRETA;QT_ING_PARDA;QT_ING_AMARELA;QT_ING_INDIGENA;QT_ING_NACESTRANG;QT_CONC;QT_CONC_FEM;QT_CONC_MASC;QT_CONC_0_17;QT_CONC_18_24;QT_CONC_25_29;QT_CONC_35_39;QT_CONC_40_49;QT_CONC_50_59;QT_CONC_60_MAIS;QT_CONC_BRANCA;QT_CONC_PRETA;QT_CONC_PARDA;QT_CONC_AMARELA;QT_CONC_INDIGENA;QT_CONC_NACESTRANG;ANO
55;Ciência da computação;54;6;48;0;50;3;0;1;0;0;7;0;0;0;0;2;27;1;26;0;17;7;0;0;0;0;16;0;0;1;0;0;2013
55;Educação física;56;20;36;1;48;4;0;1;0;0;1;0;0;0;0;0;27;11;16;0;18;8;0;0;0;0;20;1;3;0;0;0;2013
55;Ciências naturais formação de professor;101;47;54;0;63;22;3;4;2;1;3;0;2;0;0;2;25;22;3;0;5;12;1;1;1;0;12;0;5;1;1;0;2013
55;Programas interdisciplinares abrangendo ciências naturais, matemática e estatística;8;2;6;0;6;2;0;0;0;0;5;0;1;1;0;0;5;1;4;0;5;0;0;0;0;0;4;0;1;0;0;0;2013
55;Educação física formação de professor;8;7;1;0;6;2;0;0;0;0;5;0;1;0;0;0;13;7;6;0;6;4;1;0;0;0;7;0;0;2;0;0;2013
55;Educação física;3;2;1;0;2;1;0;0;0;0;2;0;0;0;0;0;28;14;14;0;14;9;0;0;1;0;21;1;1;1;0;0;2013
55;Engenharia ambiental;9;4;5;0;8;1;0;0;0;0;4;0;0;1;0;0;24;9;15;0;16;5;0;0;0;0;10;0;1;3;1;1;2013
55;Engenharia civil;9;2;7;0;9;0;0;0;0;0;2;0;1;0;0;3;156;22;134;0;69;83;1;0;0;0;64;1;7;11;0;4;2013
55;Engenharia de computação (DCN Engenharia);9;1;8;0;9;0;0;0;0;0;1;0;0;2;0;0;26;3;23;0;16;10;0;0;0;0;17;0;2;4;0;0;2013
55;Engenharia de materiais;2;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;20;7;13;0;8;9;0;0;0;0;8;0;1;1;0;0;2013
55;Engenharia de minas;2;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;15;6;9;0;10;5;0;0;0;0;9;0;0;2;0;0;2013
55;Engenharia de petróleo;47;11;36;0;47;0;0;0;0;0;1;0;0;0;0;0;13;2;11;0;5;7;0;0;0;0;6;0;0;2;0;0;2013
55;Engenharia de produção;67;18;49;1;66;0;0;0;0;0;1;0;0;0;0;1;81;19;62;0;65;16;0;0;0;0;44;1;4;13;0;6;2013
55;Engenharia elétrica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;4;13;0;8;9;0;0;0;0;7;0;5;2;0;0;2013
55;Engenharia elétrica;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;31;5;26;0;21;9;0;0;0;0;22;1;1;2;0;0;2013
55;Engenharia elétrica;21;6;15;0;19;1;1;0;0;0;3;0;0;2;0;0;33;3;30;0;15;17;0;1;0;0;17;0;2;5;0;0;2013
55;Engenharia elétrica;12;1;11;0;11;1;0;0;0;0;1;1;0;0;0;0;41;6;35;0;20;20;0;0;0;0;26;0;2;1;0;0;2013
55;Engenharia elétrica;4;1;3;0;4;0;0;0;0;0;0;1;0;1;0;0;6;0;6;0;3;3;0;0;0;0;3;0;1;0;0;0;2013
55;Engenharia mecatrônica;63;10;53;0;62;1;0;0;0;0;2;0;0;1;0;0;56;6;50;0;43;11;0;0;0;0;38;1;3;7;0;0;2013
55;Engenharia mecânica;4;0;4;0;4;0;0;0;0;0;1;0;0;0;0;0;41;3;38;0;26;15;0;0;0;0;20;0;4;6;0;0;2013
55;Engenharia metalúrgica;12;2;10;0;12;0;0;0;0;0;2;0;3;0;0;0;12;1;11;0;0;6;2;0;0;0;4;0;0;0;0;0;2013
55;Engenharia naval;6;1;5;0;2;3;0;0;0;0;2;0;0;0;0;0;45;6;39;0;25;18;1;0;0;0;20;0;0;3;0;10;2013
55;Engenharia química;3;2;1;0;3;0;0;0;0;0;1;0;0;0;0;2;70;27;43;0;59;10;0;0;0;0;52;0;3;11;0;1;2013
55;Educação física;3;2;1;0;2;1;0;0;0;0;2;0;0;0;0;0;31;7;24;0;17;13;1;0;0;0;16;1;5;2;0;0;2013
55;Física formação de professor;102;22;80;0;65;20;2;8;0;1;11;0;1;0;0;0;48;11;37;0;10;22;8;2;0;0;18;2;5;0;1;0;2013
55;Física;174;29;145;2;132;25;3;3;1;0;31;2;7;0;0;0;100;24;76;0;59;26;4;0;4;0;58;1;6;9;0;1;2013
55;Física;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;4;3;0;5;2;0;0;0;0;4;1;1;0;0;0;2013
55;Física;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;10;4;6;0;6;4;0;0;0;0;7;0;0;0;0;0;2013
